,Symbol,4Y_Geometric_Avg_ROIC,Status,Years_Available,PB_Ratio,4Y_Geometric_Avg_ROIC_Pct
443,TXT,0.073822529843975,Success,4,1.9458079670198,7.38%
482,DIS,0.037249075046501,Success,4,1.94609546075703,3.72%
197,FE,0.032875710110625,Success,4,1.94635395605877,3.29%
414,SWKS,0.168908823694385,Success,4,1.96980834864794,16.89%
491,WY,0.11867941122766,Success,4,1.97779293618311,11.87%
395,REGN,0.209419271051696,Success,4,1.98181185880716,20.94%
47,ATO,0.046043142294186,Success,4,1.98848782827677,4.60%
381,PLD,0.029645727841448,Success,4,1.99531261013604,2.96%
466,VLO,0.161520303083526,Success,4,2.00381900989588,16.15%
46,T,0.075537123419062,Success,4,2.0078231292517,7.55%
415,SJM,0.257090319312889,Success,4,2.01908362588892,25.71%
103,CI,,Success,4,2.02209294616812,nan%
342,NTRS,,Success,4,2.02477096434386,nan%
239,HUM,,Success,4,2.03582288416762,nan%
497,XEL,0.046877960522955,Success,4,2.03920462558172,4.69%
321,MOH,0.685924410010677,Success,4,2.04238570640889,68.59%
420,LUV,0.040560399115077,Success,4,2.04294623514738,4.06%
394,REG,0.042868442026593,Success,4,2.05336850079969,4.29%
65,XYZ,0.111858821951526,Success,4,2.05777863457355,11.19%
219,GL,,Success,4,2.07438856664474,nan%
203,FOX,0.139430714133162,Success,4,2.07649253731343,13.94%
355,OKE,0.085743163933947,Success,4,2.09375450742824,8.57%
8,AFL,,Success,4,2.09549932165398,nan%
451,TRV,,Success,4,2.09710751679592,nan%
339,NI,0.043439146499887,Success,4,2.13560714475009,4.34%
336,NWS,0.054691934513031,Success,4,2.15026741413751,5.47%
221,GS,,Success,4,2.15053029003915,nan%
58,BDX,0.051166444718324,Success,4,2.15566908223433,5.12%
223,HIG,,Success,4,2.15746505248288,nan%
241,HII,0.05911093427381,Success,4,2.16022441384743,5.91%
98,CHTR,0.072652602324748,Success,4,2.19621127852496,7.27%
170,EOG,0.2395795938082,Success,4,2.19719887955182,23.96%
24,AEE,0.035758919685934,Success,4,2.20048309178744,3.58%
386,PHM,0.206557352233591,Success,4,2.20462295133487,20.66%
94,CNP,0.038470041884869,Success,4,2.23147105871201,3.85%
424,STLD,0.28909146449572,Success,4,2.23181833338891,28.91%
186,EXR,0.068233956170076,Success,4,2.25213162187952,6.82%
432,TROW,0.200862176875168,Success,4,2.2546018657338,20.09%
155,DHI,0.193343561782642,Success,4,2.25729874843088,19.33%
143,DAL,0.073602827687602,Success,4,2.27796786670634,7.36%
202,FOXA,0.139430714133162,Success,4,2.28246268656716,13.94%
113,CTSH,0.172963433260682,Success,4,2.29145342886387,17.30%
77,BXP,0.044863882631796,Success,4,2.29235680298741,4.49%
175,EQR,0.040377550808686,Success,4,2.29801210025929,4.04%
51,AVB,0.040720843870513,Success,4,2.31753475528471,4.07%
17,LNT,0.051948755475604,Success,4,2.31900737277468,5.19%
408,SLB,0.121744188001441,Success,4,2.38369384359401,12.17%
327,MS,,Success,4,2.4071638495137,nan%
18,ALL,,Success,4,2.40827558092132,nan%
156,DTE,0.051608177035977,Success,4,2.4114542749876,5.16%
267,JPM,,Success,4,2.41306974010709,nan%
169,ETR,0.044273434036969,Success,4,2.41416338555577,4.43%
96,CRL,0.064750921622197,Success,4,2.41716071847852,6.48%
383,PEG,0.044155520522294,Success,4,2.42539435481457,4.42%
227,HSIC,0.090003649397408,Success,4,2.44055622390489,9.00%
438,TDY,0.065954878825805,Success,4,2.46967184598494,6.60%
